2.911847571058215900e-01 2.963015772725426933e-01 2.942865248467237405e-01 2.940125561621717010e-01 2.943360921457662815e-01 2.942540103482252922e-01 2.940704351066067423e-01 2.940704351066067423e-01 2.942540103482252922e-01 2.943360921457663371e-01 2.940125561621717565e-01 2.942865248467237960e-01 2.963015772725428043e-01 2.911847571058217010e-01
2.906926789028672076e-01 2.962911904540069252e-01 2.942889696717977399e-01 2.940133987791253567e-01 2.943355215229983557e-01 2.942538672240215258e-01 2.940706936644493230e-01 2.940706936644493785e-01 2.942538672240215258e-01 2.943355215229982447e-01 2.940133987791254677e-01 2.942889696717977954e-01 2.962911904540068697e-01 2.906926789028670965e-01
2.902021220917516686e-01 2.962801445322026384e-01 2.942913937092936361e-01 2.940142416494364030e-01 2.943349534921717026e-01 2.942537240648954167e-01 2.940709516562942660e-01 2.940709516562942660e-01 2.942537240648954167e-01 2.943349534921717581e-01 2.940142416494364030e-01 2.942913937092937471e-01 2.962801445322027494e-01 2.902021220917518352e-01
2.897130809969485354e-01 2.962684434714429882e-01 2.942937960928558860e-01 2.940150847461553418e-01 2.943343880462783169e-01 2.942535808737933856e-01 2.940712090828921932e-01 2.940712090828922487e-01 2.942535808737934411e-01 2.943343880462783724e-01 2.940150847461552863e-01 2.942937960928558305e-01 2.962684434714429882e-01 2.897130809969485910e-01
2.892255499662187423e-01 2.962560912156885218e-01 2.942961759640974062e-01 2.940159280411847598e-01 2.943338251782952053e-01 2.942534376536449225e-01 2.940714659449963908e-01 2.940714659449961688e-01 2.942534376536449781e-01 2.943338251782952608e-01 2.940159280411846487e-01 2.942961759640972952e-01 2.962560912156884108e-01 2.892255499662185203e-01
2.887395233705097319e-01 2.962430916886478749e-01 2.942985324725463925e-01 2.940167715052932063e-01 2.943332648811828878e-01 2.942532944073625312e-01 2.940717222433632538e-01 2.940717222433633093e-01 2.942532944073624757e-01 2.943332648811828878e-01 2.940167715052932618e-01 2.942985324725463925e-01 2.962430916886479304e-01 2.887395233705097874e-01
2.882549956038556460e-01 2.962294487938796350e-01 2.943008647755951390e-01 2.940176151081302369e-01 2.943327071478835100e-01 2.942531511378407294e-01 2.940719779787524524e-01 2.940719779787523969e-01 2.942531511378408959e-01 2.943327071478833989e-01 2.940176151081302369e-01 2.943008647755950280e-01 2.962294487938796350e-01 2.882549956038558125e-01
2.877719610832757957e-01 2.962151664148913732e-01 2.943031720384468586e-01 2.940184588182394032e-01 2.943321519713198442e-01 2.942530078479587141e-01 2.940722331519264876e-01 2.940722331519265986e-01 2.942530078479587696e-01 2.943321519713199552e-01 2.940184588182395142e-01 2.943031720384468586e-01 2.962151664148912067e-01 2.877719610832756847e-01
2.872904142486746304e-01 2.962002484152398973e-01 2.943054534340648898e-01 2.940193026030731294e-01 2.943315993443941792e-01 2.942528645405769194e-01 2.940724877636508028e-01 2.940724877636508028e-01 2.942528645405767529e-01 2.943315993443941236e-01 2.940193026030732404e-01 2.943054534340648898e-01 2.962002484152399528e-01 2.872904142486747414e-01
2.868103495627435939e-01 2.961846986386311165e-01 2.943077081431205722e-01 2.940201464290069233e-01 2.943310492599851003e-01 2.942527212185397367e-01 2.940727418146940053e-01 2.940727418146941718e-01 2.942527212185397922e-01 2.943310492599851003e-01 2.940201464290068678e-01 2.943077081431204611e-01 2.961846986386309499e-01 2.868103495627434829e-01
