1.025549031146407303e-01 8.643089806922221729e-02 7.634337097695456653e-02 6.915776778807909697e-02 6.367958259191509873e-02 5.931646269393701931e-02 5.572815177635548345e-02 5.270076348407062156e-02 5.009145959121494990e-02 4.780074143713504420e-02 4.575722129729324628e-02 4.390860802745032154e-02 4.221603160047239511e-02
1.968729274450410904e-01 1.742977725597388838e-01 1.574775925761270345e-01 1.445924523475628221e-01 1.343602488467896539e-01 1.259836971512940662e-01 1.189508547820267992e-01 1.129178731117529561e-01 1.076449679199531079e-01 1.029601532899988570e-01 9.873754278095048242e-02 9.488364183015073061e-02 9.132826658443349288e-02
2.544524530416013564e-01 2.346765747635540245e-01 2.179220913248292313e-01 2.038661551173522324e-01 1.919906897219926245e-01 1.818194930518171604e-01 1.729738133447947801e-01 1.651640152816853946e-01 1.581706813465233452e-01 1.518276589152129930e-01 1.460088398663690334e-01 1.406182003404244929e-01 1.355823497260300048e-01
2.818056918072625039e-01 2.691745990816744039e-01 2.566316304252164171e-01 2.448718518526826204e-01 2.340864793569828739e-01 2.242462777398395724e-01 2.152436599139117002e-01 2.069563456179615291e-01 1.992719920085144758e-01 1.920955974293209190e-01 1.853498893072225151e-01 1.789731922978537448e-01 1.729166783950215613e-01
2.918561478876446347e-01 2.855635793509297971e-01 2.780184068447283385e-01 2.698781877888501990e-01 2.615747441488129876e-01 2.533383176732906805e-01 2.452794884409297271e-01 2.374458800703960482e-01 2.298540592355676204e-01 2.225060015433278360e-01 2.153971992791280377e-01 2.085205224256814205e-01 2.018679973649136761e-01
2.941558698753464762e-01 2.919677445631199131e-01 2.881488298897407763e-01 2.831483228219406900e-01 2.772957071706092513e-01 2.708567358877959075e-01 2.640375514903217646e-01 2.569937283990605392e-01 2.498410207758381962e-01 2.426648074953829115e-01 2.355275682350229660e-01 2.284745885655010966e-01 2.215382626725045934e-01
2.948776235682743496e-01 2.939760713179156992e-01 2.919385569875093678e-01 2.886509608970728724e-01 2.842437703434761431e-01 2.789299660383785517e-01 2.729321142135215927e-01 2.664497406267970492e-01 2.596484576603147465e-01 2.526597233103428097e-01 2.455849452965612745e-01 2.385007762349699578e-01 2.314642048163464139e-01
2.948776235682743496e-01 2.939760713179156437e-01 2.919385569875093678e-01 2.886509608970728724e-01 2.842437703434761431e-01 2.789299660383784962e-01 2.729321142135217038e-01 2.664497406267970492e-01 2.596484576603147465e-01 2.526597233103428097e-01 2.455849452965612190e-01 2.385007762349699578e-01 2.314642048163464971e-01
2.941558698753464762e-01 2.919677445631199131e-01 2.881488298897407763e-01 2.831483228219408010e-01 2.772957071706092513e-01 2.708567358877957965e-01 2.640375514903218201e-01 2.569937283990605392e-01 2.498410207758381962e-01 2.426648074953828282e-01 2.355275682350228550e-01 2.284745885655011244e-01 2.215382626725046489e-01
2.918561478876446347e-01 2.855635793509297971e-01 2.780184068447283385e-01 2.698781877888501990e-01 2.615747441488129876e-01 2.533383176732906250e-01 2.452794884409297826e-01 2.374458800703960482e-01 2.298540592355676204e-01 2.225060015433278360e-01 2.153971992791279266e-01 2.085205224256814760e-01 2.018679973649137316e-01
2.818056918072625039e-01 2.691745990816744039e-01 2.566316304252164171e-01 2.448718518526826760e-01 2.340864793569827906e-01 2.242462777398395724e-01 2.152436599139117557e-01 2.069563456179615013e-01 1.992719920085144203e-01 1.920955974293209190e-01 1.853498893072224596e-01 1.789731922978538559e-01 1.729166783950215891e-01
2.544524530416013564e-01 2.346765747635539967e-01 2.179220913248292035e-01 2.038661551173522879e-01 1.919906897219925968e-01 1.818194930518172159e-01 1.729738133447948634e-01 1.651640152816853946e-01 1.581706813465232897e-01 1.518276589152129930e-01 1.460088398663690057e-01 1.406182003404246317e-01 1.355823497260301158e-01
1.968729274450410904e-01 1.742977725597388006e-01 1.574775925761269790e-01 1.445924523475628498e-01 1.343602488467895706e-01 1.259836971512941217e-01 1.189508547820268686e-01 1.129178731117529422e-01 1.076449679199530107e-01 1.029601532899988570e-01 9.873754278095051018e-02 9.488364183015084163e-02 9.132826658443357615e-02
1.025549031146407303e-01 8.643089806922218954e-02 7.634337097695456653e-02 6.915776778807911085e-02 6.367958259191508485e-02 5.931646269393705401e-02 5.572815177635551120e-02 5.270076348407062156e-02 5.009145959121492908e-02 4.780074143713507195e-02 4.575722129729326709e-02 4.390860802745036318e-02 4.221603160047242981e-02
