-1.264160286730555138e-01 0.000000000000000000e+00
6.188928717187510559e-02 6.486075883964424749e-02
2.364010877203275296e-01 2.587324073117406309e-01
5.274494032944375688e-01 5.794908470653822308e-01
9.346572476498080650e-01 1.023621781511605766e+00
1.455173838228955630e+00 1.586259219192245773e+00
2.080579553352968958e+00 2.261238786600622053e+00
2.802854651329585778e+00 3.041165266347652274e+00
3.635743975932184124e+00 3.917493620711118396e+00
4.621292118796263004e+00 4.880622612857117737e+00
5.778265738465324652e+00 5.919999999999999041e+00
7.021462429716573084e+00 7.024238145982523385e+00
8.198811319857602697e+00 8.181238786600621538e+00
9.316993126409272463e+00 9.378325580717731924e+00
1.061388787103467557e+01 1.060238299491098424e+01
1.223497531597393717e+01 1.183999999999999631e+01
1.382282330201305953e+01 1.307761700508901548e+01
1.470916500199792409e+01 1.430167441928227134e+01
1.501702501589790373e+01 1.549876121339937818e+01
1.550411811560693565e+01 1.665576185401747367e+01
1.622876146952866350e+01 1.775999999999999801e+01
1.653283108561776871e+01 1.879937738714287931e+01
1.634262945595411409e+01 1.976250637928887599e+01
1.669968905711176888e+01 2.063883473365234522e+01
1.820121782142611622e+01 2.141876121339937811e+01
1.986664994089763425e+01 2.209374078080775661e+01
2.010993898950524184e+01 2.265637821848839550e+01
1.910919933533551784e+01 2.310050915293462026e+01
1.807987734020048975e+01 2.342126759268825964e+01
1.748363302166953304e+01 2.361513924116035668e+01
1.729539379361125029e+01 2.367999999999999972e+01
1.748363302167008015e+01 2.361513924116035668e+01
1.807987734020052528e+01 2.342126759268825964e+01
1.910919933533491388e+01 2.310050915293462026e+01
2.010993898950520631e+01 2.265637821848839195e+01
1.986664994089734648e+01 2.209374078080775661e+01
1.820121782142627609e+01 2.141876121339937811e+01
1.669968905711165164e+01 2.063883473365234877e+01
1.634262945595402883e+01 1.976250637928888310e+01
1.653283108561758397e+01 1.879937738714288287e+01
1.622876146952882692e+01 1.776000000000000512e+01
1.550411811560683795e+01 1.665576185401748077e+01
1.501702501589780070e+01 1.549876121339937818e+01
1.470916500199816213e+01 1.430167441928227667e+01
1.382282330201296539e+01 1.307761700508902614e+01
1.223497531597393895e+01 1.184000000000000163e+01
1.061388787103454412e+01 1.060238299491098957e+01
9.316993126409546022e+00 9.378325580717728371e+00
8.198811319857432167e+00 8.181238786600625090e+00
7.021462429716573084e+00 7.024238145982531378e+00
5.778265738465326429e+00 5.919999999999999041e+00
4.621292118796263892e+00 4.880622612857120401e+00
3.635743975932185013e+00 3.917493620711115732e+00
2.802854651329334867e+00 3.041165266347652274e+00
2.080579553353294031e+00 2.261238786600623385e+00
1.455173838228570160e+00 1.586259219192244441e+00
9.346572476496308735e-01 1.023621781511604434e+00
5.274494032944381239e-01 5.794908470653822308e-01
2.364010877205648398e-01 2.587324073117406309e-01
6.188928717156731707e-02 6.486075883964424749e-02
