2.000000000000000111e-01 3.906333749996473426e-01 1.205842968961176931e+00 3.239504521357159383e-01
2.500000000000000000e-01 3.330823487548909001e-01 1.091866818948975304e+00 3.050576709305206635e-01
3.000000000000000444e-01 2.916929741994538361e-01 9.818015976659729693e-01 2.970997143342327118e-01
3.500000000000000333e-01 2.558464391879013977e-01 8.681671244498923024e-01 2.946972212867615681e-01
4.000000000000000222e-01 2.293409193668840551e-01 7.736200432893073353e-01 2.964516255185989380e-01
4.500000000000000111e-01 2.061592813962800363e-01 6.854412944330907642e-01 3.007686917473925692e-01
5.000000000000000000e-01 1.882948083571647224e-01 6.169196363428205432e-01 3.052177257209718886e-01
5.500000000000000444e-01 1.714634158876895409e-01 5.550767378939490682e-01 3.089003811225263796e-01
6.000000000000000888e-01 1.579337975031246399e-01 5.083731162035884932e-01 3.106651246284172219e-01
6.500000000000000222e-01 1.446685979109042508e-01 4.664194985275075256e-01 3.101684178462197905e-01
6.999999999999999556e-01 1.329877229279147199e-01 4.337879616625984758e-01 3.065731064048129451e-01
7.500000000000000000e-01 1.217627199065629551e-01 4.040709452359232401e-01 3.013399536446993432e-01
8.000000000000000444e-01 1.124011727908922342e-01 3.803669130709836921e-01 2.955072298044915113e-01
8.500000000000000888e-01 1.022934433340362270e-01 3.571361801321384366e-01 2.864269962684492521e-01
9.000000000000001332e-01 9.339315513118651157e-02 3.384599002897878961e-01 2.759356575216848628e-01
9.499999999999999556e-01 8.454919185257991909e-02 3.222096150239270873e-01 2.624043104557924333e-01
1.000000000000000000e+00 7.492082627874419032e-02 3.061595921121731956e-01 2.447116739406097197e-01
1.050000000000000044e+00 6.637829658759952789e-02 2.916631568362674787e-01 2.275854698537143894e-01
1.100000000000000089e+00 5.906232675767686402e-02 2.796674551553964272e-01 2.111877004954296477e-01
1.150000000000000133e+00 5.139432948561750703e-02 2.669725504672803562e-01 1.925079166216239757e-01
1.199999999999999956e+00 4.424916671821432779e-02 2.550576404819167031e-01 1.734869288158083778e-01
1.250000000000000000e+00 3.734625855291429097e-02 2.426978722433700275e-01 1.538796290536268152e-01
1.300000000000000044e+00 3.167975605875661405e-02 2.321003579708748599e-01 1.364916294645782124e-01
1.350000000000000089e+00 2.518672609523631145e-02 2.218214257607682705e-01 1.135450554826019920e-01
1.400000000000000133e+00 1.925150282782095434e-02 2.133399085536301087e-01 9.023863822919679645e-02
1.449999999999999956e+00 1.340073529943508479e-02 2.046525564618463799e-01 6.548041974708192214e-02
1.500000000000000000e+00 7.828446100276886810e-03 1.974234857951892019e-01 3.965306391357237975e-02
1.550000000000000044e+00 1.975595401465080059e-03 1.905066555731257383e-01 1.037021722690811831e-02
1.600000000000000089e+00 -3.013511953395608955e-03 1.846383541371156289e-01 -1.632115909762563849e-02
1.650000000000000133e+00 -7.468792819873781852e-03 1.780644950339469734e-01 -4.194431247200571672e-02
1.699999999999999956e+00 -1.097564498267222799e-02 1.720297082718468817e-01 -6.380086958775842143e-02
1.750000000000000000e+00 -1.401608187212055601e-02 1.666892613971917292e-01 -8.408509195276024639e-02
1.800000000000000044e+00 -1.708952150275278026e-02 1.620315244121789400e-01 -1.054703494566904404e-01
1.850000000000000089e+00 -2.083430651542750311e-02 1.568924023786627542e-01 -1.327935973925844781e-01
1.900000000000000133e+00 -2.450850249377256596e-02 1.528459243245356425e-01 -1.603477659092433505e-01
1.949999999999999956e+00 -2.757781592179298080e-02 1.488725430156472573e-01 -1.852444739853366662e-01
